details_id,pair,timestamp,rate,volume
vaal-cultivation-orb,chaos,2025-12-30T00:00:00Z,46.99,501.5
vaal-cultivation-orb,chaos,2025-12-29T00:00:00Z,39.15,527.4
vaal-cultivation-orb,chaos,2025-12-28T00:00:00Z,21.22,286.2
vaal-cultivation-orb,chaos,2025-12-27T00:00:00Z,29.03,242.7
vaal-cultivation-orb,chaos,2025-12-26T00:00:00Z,66.51,274.9
vaal-cultivation-orb,chaos,2025-12-25T00:00:00Z,97.03,214.1
vaal-cultivation-orb,chaos,2025-12-24T00:00:00Z,101.4,235.4
vaal-cultivation-orb,chaos,2025-12-23T00:00:00Z,98.55,192.9
vaal-cultivation-orb,chaos,2025-12-22T00:00:00Z,69.59,211.4
vaal-cultivation-orb,chaos,2025-12-21T00:00:00Z,64.99,65.96
vaal-cultivation-orb,chaos,2025-12-20T00:00:00Z,77.77,37.07
vaal-cultivation-orb,chaos,2025-12-19T00:00:00Z,75.61,25.16
vaal-cultivation-orb,chaos,2025-12-18T00:00:00Z,84.81,30.01
vaal-cultivation-orb,chaos,2025-12-17T00:00:00Z,72.27,43.83
vaal-cultivation-orb,chaos,2025-12-16T00:00:00Z,36.98,45.3
vaal-cultivation-orb,chaos,2025-12-15T00:00:00Z,7.02,9.95
vaal-cultivation-orb,chaos,2025-12-14T00:00:00Z,3.16,0.6961
divine-orb,exalted,2026-01-15T00:00:00Z,354.1,19173
divine-orb,exalted,2026-01-14T00:00:00Z,371.6,27379
divine-orb,exalted,2026-01-13T00:00:00Z,368.8,28911
divine-orb,exalted,2026-01-12T00:00:00Z,373.5,27158
divine-orb,exalted,2026-01-11T00:00:00Z,383.6,31408
divine-orb,exalted,2026-01-10T00:00:00Z,387.9,28823
divine-orb,exalted,2026-01-09T00:00:00Z,383.4,29606
divine-orb,exalted,2026-01-08T00:00:00Z,359.7,28685
divine-orb,exalted,2026-01-07T00:00:00Z,323.1,32862
divine-orb,exalted,2026-01-06T00:00:00Z,310.1,30844
divine-orb,exalted,2026-01-05T00:00:00Z,301.4,34104
divine-orb,exalted,2026-01-04T00:00:00Z,302.1,35797
divine-orb,exalted,2026-01-03T00:00:00Z,292.5,40417
divine-orb,exalted,2026-01-02T00:00:00Z,265.7,36149
divine-orb,exalted,2026-01-01T00:00:00Z,324.1,27549
divine-orb,exalted,2025-12-31T00:00:00Z,408.7,21850
divine-orb,exalted,2025-12-30T00:00:00Z,441.6,20318
divine-orb,exalted,2025-12-29T00:00:00Z,448.1,17243
divine-orb,exalted,2025-12-28T00:00:00Z,451.9,19522
divine-orb,exalted,2025-12-27T00:00:00Z,402.4,19871
divine-orb,exalted,2025-12-26T00:00:00Z,362.1,24530
divine-orb,exalted,2025-12-25T00:00:00Z,301.9,25049
divine-orb,exalted,2025-12-24T00:00:00Z,254.3,30009
divine-orb,exalted,2025-12-23T00:00:00Z,232.8,26972
divine-orb,exalted,2025-12-22T00:00:00Z,227.0,28368
divine-orb,exalted,2025-12-21T00:00:00Z,180.8,28623
divine-orb,exalted,2025-12-20T00:00:00Z,149.6,31313
divine-orb,exalted,2025-12-19T00:00:00Z,146.1,21968
divine-orb,exalted,2025-12-18T00:00:00Z,128.5,27292
divine-orb,exalted,2025-12-17T00:00:00Z,99.31,24744
divine-orb,exalted,2025-12-16T00:00:00Z,97.01,20929
divine-orb,exalted,2025-12-15T00:00:00Z,105.9,10236
divine-orb,exalted,2025-12-14T00:00:00Z,87.19,4622
divine-orb,exalted,2025-12-13T00:00:00Z,50.68,473
divine-orb,chaos,2026-01-15T00:00:00Z,45.04,22212
divine-orb,chaos,2026-01-14T00:00:00Z,53.96,30631
divine-orb,chaos,2026-01-13T00:00:00Z,57.5,31849
divine-orb,chaos,2026-01-12T00:00:00Z,60.75,25172
divine-orb,chaos,2026-01-11T00:00:00Z,61.31,28350
divine-orb,chaos,2026-01-10T00:00:00Z,67.26,22927
divine-orb,chaos,2026-01-09T00:00:00Z,69.26,23509
divine-orb,chaos,2026-01-08T00:00:00Z,66.95,20667
divine-orb,chaos,2026-01-07T00:00:00Z,59.31,20261
divine-orb,chaos,2026-01-06T00:00:00Z,52.87,18096
divine-orb,chaos,2026-01-05T00:00:00Z,54.52,18253
divine-orb,chaos,2026-01-04T00:00:00Z,57.48,17153
divine-orb,chaos,2026-01-03T00:00:00Z,72.81,16327
divine-orb,chaos,2026-01-02T00:00:00Z,91.92,15521
divine-orb,chaos,2026-01-01T00:00:00Z,108.5,13055
divine-orb,chaos,2025-12-31T00:00:00Z,117.4,11430
divine-orb,chaos,2025-12-30T00:00:00Z,99.34,12597
divine-orb,chaos,2025-12-29T00:00:00Z,83.43,10846
divine-orb,chaos,2025-12-28T00:00:00Z,59.98,17712
divine-orb,chaos,2025-12-27T00:00:00Z,41.87,19114
divine-orb,chaos,2025-12-26T00:00:00Z,49.25,15290
divine-orb,chaos,2025-12-25T00:00:00Z,66.78,7072
divine-orb,chaos,2025-12-24T00:00:00Z,70.25,6233
divine-orb,chaos,2025-12-23T00:00:00Z,70.33,5423
divine-orb,chaos,2025-12-22T00:00:00Z,49.36,9256
divine-orb,chaos,2025-12-21T00:00:00Z,50.55,6096
divine-orb,chaos,2025-12-20T00:00:00Z,69.98,2502
divine-orb,chaos,2025-12-19T00:00:00Z,75.59,1476
